CNTYVTD,BushR_18G_Land Comm,SuazoD_18G_Land Comm,PinaL_18G_Land Comm
"3550117",1023,335,82
"3550118",468,641,32
"3550119",969,606,54
"3550120",533,452,31
"3550121",341,351,24
"3550122",1110,442,64
"3550123",613,307,37
"3550124",853,646,48
"3550125",1478,1035,80
"3550126",998,469,58
"3550127",673,219,35
"3570001",288,39,6
"3570002",432,41,15
"3570003",844,45,27
"3570004",563,54,15
"3590101",108,10,3
"3590103",96,5,2
"3590202",84,9,4
"3590203",105,12,0
"3590303",143,17,4
"3590403",79,9,5
"3590404",100,4,3
"3610001",107,20,7
"3610002",183,286,17
"3610003",80,409,5
"3610004",5,155,0
"3610005",398,326,16
"3610006",757,133,23
"3610007",611,202,26
"3610008",991,185,23
"3610009",829,146,21
"3610010",283,71,11
"3610011",170,68,8
"3610012",415,126,11
"3610013",370,214,9
"3610014",549,248,21
"3610015",726,156,26
"3610016",1121,115,37
"3610017",756,78,43
"3610018",818,109,32
"3610019",633,104,32
"3610020",546,72,17
"3610021",105,22,2
"3610022",550,56,14
"3610023",1178,136,39
"3610024",648,78,21
"3610025",684,118,17
"3610026",899,147,31
"3610027",889,123,27
"3610028",1450,160,38
"3610029",451,59,14
"3610030",435,54,14
"3610031",1055,140,34
"3610032",882,96,18
"3610033",597,94,13
"3610034",624,83,23
"3630001",301,61,7
"3630002",10,1,0
"3630003",479,62,6
"3630004",202,28,3
"3630005",191,47,8
"3630006",459,100,21
"3630007",266,29,3
"3630008",850,88,18
"3630009",222,27,6
"3630011",146,20,0
"3630012",194,37,10
"3630013",309,81,9
"3630014",79,17,2
"3630015",389,50,11
"3630016",216,22,6
"3630017",172,81,6
"3630018",77,14,1
"3630020",108,8,0
"3630021",362,86,7
"3630022",490,65,20
"3630023",511,131,21
"3630024",68,10,1
"3630025",55,9,4
"3630026",31,12,2
"3630027",686,178,25
"3630028",262,95,7
"3630029",289,124,14
"3630030",166,78,6
"3650001",806,185,33
"3650002",928,202,26
"3650003",564,156,14
"3650005",250,29,4
"3650007",286,78,18
"3650008",100,16,6
"3650009",320,50,10
"3650010",136,50,9
"3650012",235,8,5
"3650013",126,48,7
"3650014",224,20,9
"3650018",986,172,30
"3650019",170,11,8
"3650020",173,3,3
"3650022",97,79,5
"3650026",73,27,2
"3650027",306,232,5
"3650028",927,167,21
"3650029",184,9,6
"3670100",1982,398,78
"3670105",1000,143,41
"3670110",636,158,34
"3670111",533,121,18
"3670115",954,189,43
"3670120",902,146,18
"3670125",1228,144,37
"3670130",1371,233,47
"3670135",710,121,30
"3670140",539,78,15
"3670200",578,170,38
"3670205",661,226,41
"3670210",910,103,40
"3670215",1683,240,70
"3670220",359,44,16
"3670225",614,92,23
"3670230",696,126,22
"3670235",538,65,29
"3670240",650,106,27
"3670245",720,97,22
"3670250",715,128,40
"3670255",826,182,25
"3670300",750,229,37
"3670305",1059,240,43
"3670310",591,207,23
"3670315",1794,376,77
"3670320",919,130,36
"3670325",906,131,43
"3670330",599,123,33
"3670335",1903,187,65
"3670340",517,44,14
"3670345",982,149,28
"3670350",1337,173,68
"3670400",1655,325,61
"3670405A",1595,253,60
"3670405B",136,23,6
"3670410",997,221,39
"3670415",1219,287,59
"3670420",1122,159,38
"3670425",708,107,33
"3670430",1300,276,52
"3670435",1364,288,39
"3670440",2126,339,57
"3670445",1029,156,33
"3670450",1311,271,47
"3690101",496,103,20
"3690201",155,106,5
"3690202",110,12,5
"3690203",41,1,3
"3690301",395,74,18
"3690302",124,7,2
"3690303",29,5,1
"3690401",149,12,5
"3690402",82,52,2
"3710001",590,296,26
"3710002",460,322,18
"3710003",127,15,3
"3710004",305,54,16
"3710005",38,7,0
"3710006",24,22,3
"3710007",338,291,16
"3710009",100,22,7
"3710010",181,128,11
"3730001",166,18,5
"3730002",216,25,8
"3730003",591,164,22
"3730004",583,128,24
"3730005",1008,260,49
"3730006",1899,330,72
"3730007",245,89,7
"3730008",313,127,5
"3730009",282,70,4
"3730010",676,279,11
"3730011",133,39,8
"3730012",68,55,6
"3730013",188,22,6
"3730014",328,44,4
"3730015",433,51,13
"3730016",1713,268,49
"3730017",510,81,13
"3730018",94,168,5
"3730019",1349,586,54
"3730020",1368,574,58
"3730021",482,121,15
"3750121",965,206,41
"3750122",802,249,57
"3750123",1271,511,75
"3750124",1020,253,44
"3750125",1222,515,83
"3750126",720,344,43
"3750221",246,230,18
"3750222",265,176,10
"3750223",270,319,14
"3750224",582,384,36
"3750225",270,252,16
"3750321",1323,120,48
"3750322",93,16,7
"3750323",1847,286,65
"3750324",2130,439,78
"3750325",980,293,54
"3750326",1049,189,51
"3750327",444,84,33
"3750421",150,262,15
"3750422",444,682,35
"3750424",180,314,16
"3750425",239,308,11
"3750426",117,91,2
"3750427",89,95,7
"3770001",78,100,11
"3770002",50,112,8
"3770003",4,15,0
"3770004",42,212,8
"3770005",31,121,4
"3770006",10,4,1
"3770007",221,537,21
"3790101",605,64,19
"3790102",326,61,7
"3790203",740,84,15
"3790204",296,40,10
"3790305",443,73,12
"3790306",415,131,10
"3790407",471,76,10
"3790408",394,72,10
"3810110",2380,323,87
"3810111",1387,564,68
"3810112",994,393,70
"3810114",1061,357,46
"3810123",625,214,36
"3810208",2788,540,82
"3810220",873,199,40
"3810222",2155,386,79
"3810227",2580,446,98
"3810228",2499,490,79
"3810230",1600,260,53
"3810305",1249,226,62
"3810306",1787,403,75
"3810307",1805,316,71
"3810309",1637,178,63
"3810324",2584,468,117
"3810325",2005,233,67
"3810415",1807,442,78
"3810418",2196,507,116
"3810421",1298,327,68
"3810426",1447,192,66
"3810429",1699,509,101
"3830001",69,32,4
"3830002",260,23,6
"3830003A",173,35,6
"3830003B",18,0,0
"3830004",160,27,6
"3850001",350,64,19
"3850002",392,57,12
"3850003",181,50,10
"3850004",132,21,6
"3850006",164,22,5
"3850007",41,4,0
"3870001",44,4,0
"3870002",242,113,9
"3870003",303,244,12
"3870004",303,161,14
"3870005",485,57,9
"3870007",121,24,3
"3870009",168,7,1
"3870010",105,11,7
"3870011",71,8,0
"3870013",282,45,7
"3870014",99,16,4
"3870017",127,16,3
"3870018",78,9,0
"3870019",207,25,1
"3870020",48,35,1
"3870021",62,25,3
"3870024",85,25,1
"3870027",210,13,4
"3870028",99,39,2
"3870029",74,27,2
"3870030",66,3,2
"3870031",84,5,2
"3890001",38,59,4
"3890002",127,138,8
"3890003",158,155,8
"3890004",24,6,1
"3890005",78,98,6
"3890006",24,23,1
"3890007",188,117,9
"3890008",48,58,5
"3890010",133,146,7
"3890011",87,150,7
"3890012",208,138,12
"3910001",92,91,2
"3910002",409,85,10
"3910003",286,86,11
"3910004",44,129,2
"391001A",105,129,8
"391002A",106,15,8
"391002B",112,40,5
"391003A",271,70,3
"391004A",135,86,6
"391004B",72,42,4
"3930001",114,2,1
"3930002",115,3,2
"3930003",82,9,0
"39304-1",65,2,0
"39304-2",65,3,1
"3950001",373,324,17
"3950002",448,268,25
"3950003",321,34,7
"3950004",274,29,6
"3950005",611,199,31
"3950006",708,146,14
"3950007",21,23,1
"3950008",163,18,2
"3950011",474,130,25
"3950013",117,11,5
"3950016",78,12,5
"3950018",48,3,1
"3950019",306,34,10
"3950022",103,438,6
"3950023",155,152,7
"3970001",2401,797,103
"3970002",1961,609,72
"3970003",138,129,6
"3970004",1212,274,36
"397001A",1390,664,70
"397001B",2794,745,98
"397001C",1622,419,53
"397002A",1873,749,89
"397002B",756,374,42
"397002C",2724,600,94
"397003A",339,392,8
"397003B",993,654,51
"397003C",1555,252,30
"397003D",3154,787,104
"397004A",3011,1348,150
"397004B",551,230,26
"397004C",1302,419,55
"3990001",558,95,18
"3990002",47,9,2
"3990003",537,80,26
"3990004A",129,21,7
"3990004B",7,0,0
"3990005",95,4,1
"3990006",78,4,1
"3990007",368,56,12
"3990008",363,26,11
"3990009",365,45,14
"3990010",224,14,5
"4010111",412,76,21
"4010112",769,156,25
"4010113",1179,279,43
"4010114",644,136,20
"4010201",371,84,9
"4010212",418,74,17
"4010213",821,169,26
"4010214",1135,324,37
"4010215",816,280,17
"4010302",295,243,9
"4010303",381,299,18
"4010314A",465,56,13
"4010314B",42,5,0
"4010315",399,35,14
"4010316",231,18,15
"4010317",173,116,4
"4010318",462,125,13
"4010319",113,85,5
"4010404",814,134,19
"4010405",569,124,21
"4010416",401,73,19
"4010417",571,153,19
"4010418",932,227,29
"4030001",902,95,38
"4030002",720,80,30
"4030003",147,71,7
"4030004",135,8,1
"4030005",477,42,9
"4030006",755,117,28
"4030007",42,46,4
"4030008",138,19,6
"4050001",420,207,22
"4050002",105,85,3
"4050003",92,34,4
"4050004",148,58,4
"4050005",158,27,6
"4050006",139,24,8
"4050007",159,33,5
"4050008",331,29,6
"4050009",427,50,23
"4050010",187,18,7
"4050011",8,150,0
"4070001",1142,292,54
"4070002",1278,302,49
"4070003",537,116,27
"4070004",391,20,16
"4070005",849,120,33
"4070006",956,202,32
"4070007",888,283,32
"4070008",440,122,18
"4070010",275,45,14
"4070013",297,56,8
"4070014",247,90,16
"4090101",105,100,13
"4090102",564,513,39
"4090103",153,31,10
"4090104",390,224,22
"4090105",179,441,15
"4090106",401,213,24
"4090107",89,41,3
"4090108",1434,469,76
"4090109",899,333,71
"4090110",445,298,26
"4090111",20,4,1
"4090112",82,319,2
"4090113",129,270,13
"4090114",633,192,37
"4090115",1289,374,63
"4090116",1682,409,96
"4090117",155,56,11
"4090118",335,511,19
"4090119",452,162,32
"4090120",290,86,10
"4090121",611,266,31
"4090122",267,109,8
"4090123",29,20,3
"4090124",615,706,26
"4090125",19,7,0
"4110001",450,60,12
"411002A",311,33,16
"411002B",145,14,3
"411003A",230,46,7
"411003B",161,29,3
"411004A",402,36,6
"411004B",61,5,1
"4130001",202,65,13
"4130002",180,44,16
"4130003",52,32,1
"4130004",265,44,12
"4150005",47,6,6
"4150006",140,15,1
"4150007",936,139,29
"4150008",351,47,13
"4150009",237,25,10
"4150010",627,68,16
"4150011",67,7,2
"4150012",485,109,23
"4150013",218,40,8
"4150014",62,11,5
"4150015",393,133,21
"4170101",275,30,1
"4170202",330,13,9
"4170303",129,7,8
"4170307",150,12,2
"4170404",22,1,0
"4170405",105,10,5
"4170406A",134,17,4
"4170406B",2,0,0
"4190002",369,46,11
"4190003",155,12,7
"4190004",322,59,8
"4190005",899,87,24
"4190006",267,46,2
"4190007",282,120,12
"4190008",360,180,13
"419001N",565,113,20
"419001S",695,163,17
"419001W",199,32,8
"419009N",469,107,12
"419009S",402,75,14
"41901SE",252,348,14
"41901SW",577,82,11
"4210101",35,4,1
"4210102",100,20,0
"4210201",66,17,3
"4210202",60,1,0
"4210301",64,9,3
"4210302",108,10,1
"4210401",257,18,8
"4230001",57,94,3
"4230002",58,229,3
"4230003",1042,332,64
"4230004",367,323,20
"4230005",2019,315,70
"4230006",367,85,16
"4230007",766,233,49
"4230008",578,175,18
"4230009",44,94,1
"4230010",678,770,40
"4230011",112,622,12
"4230012",266,741,28
"4230013",28,660,6
"4230014",548,310,27
"4230015",2577,326,76
"4230016",75,485,9
"4230017",448,55,20
"4230018",37,564,12
"4230019",2266,371,72
"4230020",113,148,11
"4230021",716,189,27
"4230022",135,108,5
"4230023",903,351,43
"4230025",971,256,46
"4230026",1191,227,52
"4230027",604,305,37
"4230028",1716,323,76
"4230029",798,205,31
"4230030",2117,342,93
"4230031",1828,298,87
"4230032",1138,315,57
"4230034",175,478,9
"4230035",526,736,29
"4230036",260,960,20
"4230037",936,181,33
"4230038",838,366,44
"4230039",116,133,6
"4230040",2540,413,77
"4230041",1774,296,63
"4230042",1924,378,88
"4230043",383,175,27
"4230044",1143,724,69
"4230045",688,76,21
"4230046",392,165,16
"4230047",129,61,11
"4230048",114,84,10
"4230049",38,73,1
"4230050",1128,306,48
"4230052",997,181,35
"4230054",1338,482,46
"4230055",1648,805,88
"4230056",1485,460,81
"4230058",1476,389,59
"4230059",1600,404,70
"4230060",92,143,3
"4230061",604,453,41
"4230063",7,28,1
"4230064",46,37,2
"4230065",37,36,0
"4230066",166,148,11
"4230070",180,92,15
"4230071",1995,404,70
"4230072",76,36,2
"4230073",160,134,11
"4230074",158,24,12
"4230075",1645,226,54
"4230076",69,176,3
"4230077",113,87,14
"4230078",76,18,2
"4230079",1561,408,70
"4230080",9,2,1
"4230081",41,82,3
"4230082",8,12,0
"4250001",598,104,27
"4250002",871,171,32
"4250003",758,140,36
"4250004",734,122,44
"4270001",300,584,17
"4270002",344,829,24
"4270003",133,420,13
"4270004",137,115,3
"4270005",19,26,3
"4270006",586,2063,79
"4270007",66,268,9
"4270008",185,669,13
"4270009",234,748,15
"4270010",532,1267,32
"4291-11",482,65,15
"4292-11",600,84,15
"4292-19A",41,2,0
"4292-19B",94,7,1
"4292-19C",0,0,0
"4293-11",216,44,8
"4293-19",230,20,5
"4294-11",266,43,12
"4294-19",429,43,15
"4295-11",191,9,0
"4310001A",85,9,4
"4310001B",27,4,1
"4310002A",65,6,3
"4310002B",6,0,0
"4310002C",11,1,1
"4310002D",3,0,0
"4310003",131,8,3
"4310004",101,9,1
"4330001",127,13,8
"4330002",123,31,2
"4330003",115,18,6
"4330004",97,33,7
"4350101",151,73,6
"4350201",257,39,10
"4350301",354,71,14
"4350401",147,68,5
"4370001",208,54,7
"4370002",361,108,12
"4370003",328,60,13
"4370004",80,51,6
"4370006",118,35,7
"4370007",198,31,6
"4370009",13,7,1
"4370011",109,39,3
"4391001",528,503,29
"4391004",687,586,36
"4391005",23,325,7
"4391008",3,107,4
"4391009",480,303,29
"4391010",22,119,4
"4391011",38,311,7
"4391012",468,728,46
"4391013",149,965,20
"4391014",108,159,10
"4391015",230,373,29
"4391019",59,237,5
"4391021",1193,520,68
"4391022",419,302,28
"4391023",1305,1187,88
"4391024",1060,603,41
"4391025",284,622,18
"4391034",1437,360,50
"4391056",25,102,5
"4391059",19,185,4
"4391061",8,47,1
"4391062",9,11,0
"4391064",0,0,0
"4391066",117,243,17
"4391071",396,713,37
"4391074",22,249,10
"4391075",63,280,5
"4391076",333,395,27
"4391078",12,339,7
"4391079",21,428,3
"4391080",26,460,7
"4391081",276,148,8
"4391082",112,170,7
"4391083",59,315,5
"4391084",0,0,0
"4391085",120,211,10
"4391088",87,420,11
"4391089",22,549,5
"4391090",30,503,6
"4391094",291,544,42
"4391095",406,179,17
"4391098",46,602,7
"4391099",92,240,6
"4391103",619,265,19
"4391104",113,1137,22
"4391105",596,459,43
"4391106",22,882,8
"4391108",627,465,36
"4391109",113,339,21
"4391111",1308,310,44
"4391117",673,501,34
"4391119",957,1571,67
"4391120",63,1166,22
"4391126",314,666,31
"4391127",41,686,6
"4391132",27,603,9
"4391133",481,562,42
"4391142",389,360,38
"4391146",485,849,41
"4391149",210,859,12
"4391150",230,568,12
"4391151",262,372,20
"4391153",54,795,11
"4391154",36,168,1
"4391165",52,88,5
"4391167",448,426,34
"4391170",511,937,47
"4391175",367,451,17
"4391184",175,260,23
"4391186",308,98,6
"4391188",10,264,3
"4391189",690,730,43
"4391197",1248,1226,80
"4391198",66,116,3
"4391199",174,100,8
"4391206",1037,466,63
"4391207",600,720,35
"4391208",2026,829,111
"4391211",55,845,14
"4391227",633,1595,57
"4391236",140,209,17
"4391237",107,242,10
"4391238",558,960,40
"4391241",35,76,4
"4391244",69,31,0
"4391251",325,1403,25
"4391255",548,1149,34
"4391257",283,519,18
"4391264",607,450,32
"4391265",511,680,33
"4391270",141,163,11
"4391271",1156,379,61
"4391273",332,662,30
"4391277A",433,408,39
"4391277B",0,0,0
"4391278",176,849,35
"4391279",335,857,26
"4391291",42,964,13
"4391292",174,596,21
"4391293",90,532,10
"4391294",1382,881,75
"4391295",130,286,8
"4391296",904,594,49
"4391297",58,1156,10
"4391298",698,662,35
"4391300",392,831,36
"4391301",130,852,18
"4391311",248,782,21
"4391337",1019,417,49
"4391339",993,628,48
"4391345",94,96,5
"4391346",18,398,3
"4391347",1228,1531,72
"4391348",397,110,17
"4391351",0,0,0
"4391352",263,112,12
"4391366",0,0,0
"4391376",3,4,0
"4391377",1180,1105,75
"4391378",467,1343,40
"4391380",375,447,45
"4391382",279,845,26
"4391388",459,918,40
"4391394",0,0,0
"4391404",7,11,0
"4391407",12,27,1
"4391408",29,63,1
"4391412",0,0,0
"4391414",5,21,0
"4391415",123,458,11
"4391416",44,44,4
"4391418",0,0,0
"4391420",0,0,0
"4391423",1487,484,40
"4391424",9,7,1
"4391427",1,2,0
"4391430",1,3,0
"4391431",801,301,30
"4391434",2,1,0
"4391436",200,284,13
"4391437",240,221,16
"4391439",6,46,3
"4391440",206,760,16
"4391441",73,305,16
"4391444",9,25,1
"4391445",19,32,3
"4391455",0,0,0
"4391457",2,1,0
"4391459",239,714,36
"4391460",260,918,24
"4391463",188,553,29
"4391472",71,46,4
"4391473",13,30,1
"4391476",13,30,2
"4391477",52,367,6
"4391479",16,68,3
"4391481",29,140,4
"4391482",36,254,4
"4391489",267,688,38
"4391490",87,188,13
"4391491",1,0,0
"4391501",114,162,11
"4391504",924,200,33
"4391514",0,0,0
"4391515",9,6,2
"4391518",84,297,8
"4391543",0,0,0
"4391544",0,2,0
"4391547",0,0,0
"4391549",0,0,0
"4391550",1,19,0
"4391555",1,0,0
"4391559",34,84,1
"4391564",0,0,0
"4391576",4,75,0
"4391577",60,410,7
"4391578",157,551,25
"4391586",0,1,0
"4391589",45,62,4
"4391594",0,0,0
"4391597",40,209,1
"4391603",330,854,29
"4391605",0,0,0
"4391607",0,0,0
"4391608",279,294,21
"4391610",0,0,0
"4391611",4,4,0
"4391617",5,9,0
"4391619",2,9,0
"4391621",15,39,3
"4391622",15,12,2
"4391623",0,0,0
"4391625",0,0,0
"4391627",118,45,7
"4391628",0,0,0
"4391631",54,83,4
"4391633",9,7,1
"4391639",417,1633,35
"4391641",1000,1437,76
"4391642",301,888,24
"4391651",0,0,0
"4391652",1,77,2
"4391672",0,0,0
"4391674",0,0,0
"4391676",44,104,5
"4391677",7,8,3
"4391678",1,2,2
"4391679",0,0,0
"4391684",136,141,12
"4391701",290,321,25
"4391704",749,390,35
"4392002",0,3,0
"4392003",350,231,31
"4392007",926,446,43
"4392026",705,470,50
"4392027",216,357,18
"4392028",531,250,41
"4392029",1679,886,86
"4392030",402,1244,46
"4392031",785,1847,55
"4392033",571,473,37
"4392052",523,780,52
"4392055",741,512,32
"4392058",0,0,0
"4392100",142,132,15
"4392112",921,337,32
"4392134",132,207,8
"4392143",173,216,14
"4392145",241,545,31
"4392147",433,291,37
"4392148",274,688,30
"4392158",825,606,36
"4392161",300,576,36
"4392168",549,633,67
"4392169",143,363,15
"4392171",1031,614,69
"4392173",482,187,22
"4392174",863,652,47
"4392180",156,575,18
"4392181",975,660,68
"4392190",76,97,4
"4392205",950,552,58
"4392210",125,203,12
"4392217",579,853,61
"4392219",889,646,37
"4392220",1066,596,56
"4392221",1375,1345,76
"4392223",923,289,31
"4392224",350,639,29
"4392225",115,508,17
"4392226",318,591,25
"4392228",1032,514,44
"4392229",687,545,59
"4392235",507,757,54
"4392246",510,282,22
"4392258",243,105,8
"4392262",416,140,21
"4392263",324,554,19
"4392266",1172,651,66
"4392267",319,658,28
"4392268",285,356,21
"4392269",100,127,8
"4392274",2,0,0
"4392275",192,297,18
"4392280",581,432,41
"4392281",474,335,29
"4392299",257,604,20
"4392302",135,577,26
"4392303",864,510,54
"4392304",951,485,36
"4392305",611,442,26
"4392306",858,398,40
"4392307",1517,1036,85
"4392308",930,647,42
"4392309",236,399,25
"4392310",648,458,34
"4392313",898,480,70
"4392314",1338,666,70
"4392315",310,602,32
"4392316",465,499,37
"4392317",514,289,25
"4392318",707,366,33
"4392319",969,487,43
"4392320",294,600,16
"4392341",56,140,3
"4392349",357,617,20
"4392353",248,382,15
"4392354",404,728,48
"4392355",521,351,27
"4392356",930,836,39
"4392357",1218,662,35
"4392358",937,506,43
"4392360",1395,531,58
"4392379",581,1378,40
"4392381",62,195,6
"4392383",453,742,31
"4392393",76,125,6
"4392401",99,62,4
"4392402",5,2,1
"4392403",2,8,0
"4392405",682,1526,50
"4392411",40,141,3
"4392413",89,273,6
"4392419",0,0,0
"4392425",770,883,43
"4392426",910,457,38
"4392428",72,174,3
"4392435",817,694,38
"4392438",408,917,36
"4392442",628,582,28
"4392448",490,999,40
"4392449",397,778,41
"4392450",411,848,37
"4392451",11,57,1
"4392453",413,778,19
"4392461",219,740,19
"4392462",271,602,25
"4392464",182,113,6
"4392466",212,441,14
"4392467",433,767,43
"4392468",870,593,35
"4392474",156,53,10
"4392484",620,1311,48
"4392488",462,856,30
"4392505",636,302,32
"4392506",1570,1043,93
"4392513",0,0,0
"4392519",207,408,14
"4392520",606,516,46
"4392521",438,303,27
"4392522",1413,881,80
"4392523",282,565,22
"4392524",1261,290,36
"4392525",464,1112,42
"4392535",788,381,42
"4392536",528,549,39
"4392537",181,479,16
"4392541",377,858,37
"4392546",8,27,1
"4392548",736,249,24
"4392553",260,495,29
"4392556",748,417,35
"4392557",206,439,23
"4392561",0,0,0
"4392569",3,21,1
"4392571",0,0,0
"4392581",495,773,33
"4392600",0,0,0
"4392601",0,0,0
"4392606",2,6,0
"4392609",0,0,0
"4392612",0,0,0
"4392613",180,629,21
"4392614",77,115,3
"4392616",8,25,1
"4392618",9,24,1
"4392635",705,1398,48
"4392636",829,505,54
"4392643",1128,1607,57
"4392644",520,1123,44
"4392645",891,375,29
"4392655",178,343,21
"4392656",4,32,5
"4392657",5,9,0
"4392658",58,165,4
"4392659",3,4,0
"4392660",77,53,5
"4392670",24,46,2
"4392673",0,0,0
"4392675",0,0,0
"4392680",0,0,0
"4392681",0,0,0
"4392697",664,807,36
"4392699",776,1204,41
"4393032",535,281,29
"4393035",1720,728,89
"4393036",500,533,61
"4393037",1197,548,64
"4393038",1036,776,78
"4393039",1887,760,67
"4393040",1263,520,61
"4393041",652,474,45
"4393043",1372,428,75
"4393049",1503,459,63
"4393054",1429,680,82
"4393063",1749,697,62
"4393072",1253,409,67
"4393114",1084,524,76
"4393131",654,301,37
"4393139",394,281,39
"4393140",726,309,37
"4393152",16,4,1
"4393156",840,254,28
"4393157",639,539,57
"4393160",566,535,38
"4393164",649,353,45
"4393166",587,597,53
"4393172",823,570,66
"4393176",1173,703,75
"4393177",1173,385,47
"4393183",1091,963,59
"4393185",2,0,0
"4393187",535,320,43
"4393192",388,85,10
"4393193",1667,508,44
"4393194",665,383,49
"4393196",1024,408,43
"4393200",889,525,57
"4393209",2071,560,63
"4393212",569,508,37
"4393213",589,376,34
"4393214",961,555,57
"4393215",1090,385,32
"4393216",1126,916,55
"4393240",883,490,54
"4393247",426,447,33
"4393248",1904,714,64
"4393249",1071,889,76
"4393254",698,537,43
"4393260",695,277,33
"4393282",674,327,39
"4393283",724,343,41
"4393286",462,104,16
"4393287",883,489,50
"4393289",913,469,68
"4393321",1731,1010,117
"4393322",960,454,44
"4393323",1852,588,67
"4393324",867,415,33
"4393325",432,179,19
"4393326",280,170,14
"4393327",665,362,44
"4393329",614,725,64
"4393330",599,202,22
"4393331",2207,653,69
"4393332",849,655,49
"4393333",1810,950,92
"4393334",706,540,43
"4393335",949,443,43
"4393336",759,946,51
"4393359",1012,408,32
"4393361",1211,613,67
"4393363A",666,250,32
"4393363B",472,176,22
"4393364",275,225,16
"4393365",2071,651,63
"4393367",723,362,48
"4393368",387,146,16
"4393372",1212,654,77
"4393384",587,398,56
"4393385",1429,587,59
"4393386",2135,725,82
"4393387",1047,327,53
"4393389",1058,1087,87
"4393390",2055,668,74
"4393391",664,777,62
"4393392",1136,359,44
"4393396",1325,769,62
"4393398",579,279,34
"4393406",0,0,0
"4393409",9,2,0
"4393417",792,417,43
"4393421",744,235,27
"4393422",2219,617,77
"4393433",305,108,16
"4393443",871,492,59
"4393446",0,0,0
"4393447",0,0,0
"4393465",1098,724,69
"4393469",507,289,30
"4393470",63,22,1
"4393471",935,273,31
"4393486",1839,943,100
"4393500",213,51,7
"4393502",841,201,37
"4393507",829,495,49
"4393509",730,413,39
"4393510",1603,468,65
"4393511",698,763,63
"4393516",1011,385,38
"4393517",664,580,35
"4393526",668,217,22
"4393527",1029,424,54
"4393529",1144,440,35
"4393530",1188,593,48
"4393538",1699,726,33
"4393539",7,1,0
"4393542",956,509,64
"4393545",1242,437,46
"4393552A",828,637,45
"4393552B",233,179,14
"4393554",1476,486,66
"4393558",1788,572,38
"4393560",0,0,0
"4393562",76,22,4
"4393566",1,1,0
"4393567",1535,400,67
"4393570",953,597,69
"4393574",123,119,10
"4393575",0,0,0
"4393579",457,132,12
"4393580",0,0,0
"4393582",28,1,0
"4393583",0,0,0
"4393584",0,0,0
"4393585",0,0,0
"4393590",0,0,0
"4393624",125,77,5
"4393626",370,109,13
"4393637",627,513,42
"4393646",1059,631,93
"4393647",1100,718,53
"4393648",1216,786,77
"4393653",1,0,0
"4393654",0,0,0
"4393661",0,0,0
"4393662",5,0,0
"4393663",2,2,0
"4393664",0,0,0
"4393665",11,0,0
"4393667",52,18,3
"4393668",200,51,7
"4393669",2,1,0
"4393671",297,124,23
"4393695",1464,763,57
"4393696",1303,717,75
"4393698",1307,885,69
"4393700",595,329,43
"4394006",93,308,19
"4394016",525,464,33
"4394017",180,819,19
"4394018",363,164,22
"4394020",438,281,27
"4394042",290,228,19
"4394044A",1582,529,70
"4394044B",28,10,1
"4394045",1198,373,35
"4394046",1658,437,67
"4394047",1292,279,55
"4394048",53,235,8
"4394050",66,413,5
"4394051",1,3,0
"4394053",387,229,32
"4394057",269,166,1
"4394060",330,778,63
"4394065",1622,383,69
"4394067",109,481,15
"4394068",106,391,11
"4394069",1735,884,88
"4394070",724,643,54
"4394073",128,98,3
"4394077",88,103,9
"4394086",1259,436,41
"4394087",32,196,6
"4394091",828,407,34
"4394092",64,308,8
"4394093",140,584,11
"4394096",219,456,24
"4394097",132,396,10
"4394101",220,305,9
"4394102",232,247,7
"4394107",70,325,12
"4394110",92,373,11
"4394113",121,53,5
"4394115",382,70,8
"4394116",844,568,37
"4394118",377,358,20
"4394121",757,484,57
"4394122",113,485,8
"4394123",106,455,8
"4394124",385,352,26
"4394125",129,120,6
"4394128",866,461,38
"4394129",528,236,21
"4394130",1222,515,38
"4394135",375,294,23
"4394136",522,584,45
"4394137",610,318,29
"4394138",179,162,10
"4394141",769,557,43
"4394144",559,280,20
"4394155",276,775,33
"4394159",421,307,36
"4394162",105,138,4
"4394163",498,328,23
"4394178",1171,638,46
"4394179",283,329,19
"4394182",1295,698,69
"4394191",436,202,20
"4394195",91,458,10
"4394201",74,391,8
"4394202",365,383,22
"4394203",361,515,33
"4394204",976,661,45
"4394218",315,257,17
"4394222",256,258,20
"4394230",1373,845,69
"4394231",109,521,7
"4394232",1003,1029,75
"4394233",124,460,27
"4394234",1275,633,74
"4394239",50,21,3
"4394242",256,87,14
"4394243",422,348,37
"4394245",5,51,1
"4394250",883,647,40
"4394252",310,287,30
"4394253",137,121,10
"4394256",69,270,9
"4394259",544,156,21
"4394261",741,718,77
"4394272",196,103,5
"4394276",698,474,39
"4394284",119,26,6
"4394285",112,152,10
"4394288",11,68,4
"4394290",696,499,36
"4394312",16,51,3
"4394328",362,282,30
"4394338",1047,751,60
"4394340",901,268,43
"4394342",961,547,46
"4394343",885,350,32
"4394344",637,318,21
"4394350",421,469,35
"4394362",2,1,0
"4394369",1354,665,86
"4394370",0,0,0
"4394371",1244,236,35
"4394373",109,37,5
"4394374",671,522,55
"4394375",1133,424,54
"4394395",244,58,14
"4394397",108,80,9
"4394399",104,24,5
"4394400",81,59,8
"4394410",705,666,47
"4394429",470,325,40
"4394432",3,11,1
"4394452",1247,1086,77
"4394454",795,410,52
"4394456",486,220,25
"4394458",3,1,0
