CNTYVTD,BrownR_18G_Sup Ct 6,ChengD_18G_Sup Ct 6
"0570010",40,30
"0570011",143,52
"0570012",538,182
"0570013",7,11
"0570014",45,32
"0570015",51,43
"0570016",319,184
"0570017",211,133
"0570018",135,44
"0570019",267,46
"0570020",19,11
"0570021",58,20
"0570022",122,34
"0570023",130,42
"0570024",607,133
"0570025",493,86
"0590001",1054,155
"0590002",917,114
"0590003",971,127
"0590004",796,49
"0590005",75,6
"0590006",358,56
"0590007",240,35
"0610001",368,424
"0610002",160,100
"0610003",297,564
"0610004",598,793
"0610005",50,153
"0610006",59,314
"0610007",31,108
"0610008",33,131
"0610009",135,528
"0610010",103,388
"0610011",153,454
"0610012",350,600
"0610013",61,150
"0610014",232,546
"0610015",245,589
"0610016",193,245
"0610017",339,785
"0610018",256,550
"0610019",212,402
"0610020",300,247
"0610021",254,532
"0610022",238,556
"0610023",48,38
"0610024",98,283
"0610025",90,180
"0610026",573,565
"0610027",233,640
"0610028",251,322
"0610029",656,523
"0610030",283,210
"0610031",54,83
"0610032",467,556
"0610033",69,141
"0610034",48,49
"0610035",323,271
"0610036",356,458
"0610037",89,349
"0610038",159,207
"0610039",116,268
"0610040",291,540
"0610041",380,971
"0610042",93,269
"0610043",125,262
"0610044",898,699
"0610045",136,475
"0610046",383,935
"0610047",78,257
"0610048",227,370
"0610049",112,158
"0610050",777,986
"0610051",126,213
"0610052",743,439
"0610053",194,715
"0610054",527,1251
"0610055",416,778
"0610056",442,419
"0610057",149,138
"0610058",619,650
"0610059",49,136
"0610060",95,191
"0610061",310,610
"0610062",286,801
"0610063",191,515
"0610064",515,547
"0610065",384,604
"0610066",818,868
"0610067",909,639
"0610068",149,502
"0610069",275,882
"0610070",63,257
"0610071",224,841
"0610072",398,859
"0610073",510,1099
"0610074",367,936
"0610075",220,730
"0610076",185,309
"0610077",173,685
"0610078",575,646
"0610079",600,673
"0610080",1165,880
"0610081",243,327
"0610082",171,501
"0610083",228,266
"0610084",484,447
"0610085",261,245
"0610086",125,333
"0610087",537,362
"0610095",103,217
"0610096",106,373
"0610097",66,177
"0610098",634,1455
"0610099",54,77
"0610100",652,1385
"0610101",117,206
"0610102",315,487
"0610103",40,81
"0610104",21,46
"0610105",8,15
"0610106",389,633
"0610107",61,148
"0610108",0,0
"0610109",0,0
"0631001",665,268
"0632002",912,242
"0633003",416,373
"0634004",726,224
"0650101",265,29
"0650102",50,0
"0650103",204,36
"0650201",548,53
"0650301",353,40
"0650302",174,17
"0650401",399,53
"0650402",173,3
"0670001",1310,350
"0670002",177,54
"0670004",164,69
"0670005",382,86
"0670006",254,29
"0670007",791,208
"0670009",412,154
"0670011",249,100
"0670012",316,124
"0670014",946,173
"0670015",298,36
"0670016",237,29
"0670017",1432,253
"0670018",289,14
"0670019",228,25
"0670021",142,15
"067013T",421,309
"067020E",116,18
"0690101",108,111
"0690105",23,5
"0690201",125,117
"0690206",64,14
"0690301",374,84
"0690307",75,7
"0690401",80,53
"0690408",321,17
"0710001",286,58
"0710002",259,139
"0710003",166,97
"0710004",1806,232
"0710005",1213,178
"0710006",806,252
"0710007",945,191
"0710008",2201,315
"0710009",148,30
"0710010",2053,317
"0710011",939,279
"0710012",512,180
"0710013",0,0
"0710014",179,33
"0710015",687,428
"0730012",572,137
"0730013",558,62
